row_id,catalogue_id,catalogue_z,r,z_equals_r,catalogue_mu_record,catalogue_luminosity_record,catalogue_scale_record,D_record,T_record,mu_derivative_recovered,gamma_recovered,gamma_finite_status,gamma_clip_status,robust_subset_status,gamma_difference_from_extracted_record
916,12971,0.23381,0.23381,True,40.1389,1066.0559538253865,73.23,0.2110571383228746,0.215188565229977,0.082912607552,0.7609797370893252,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.3749455770893252
917,110536,0.23475,0.23475,True,40.1912,1092.0436553562424,73.23,0.21603757631852705,0.220283662674534,0.082912607552,0.5714883451447885,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.1854541851447885
918,1279500,0.23471,0.23471,True,40.2784,1136.789359803184,73.23,0.22489684642814214,0.22931629578688464,0.082912607552,0.20198360334505755,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.18405055665494247
919,1319366,0.23483,0.23483,True,40.158,1075.474208972789,73.23,0.21274588038636552,0.2169287093584384,0.082912607552,0.7216398058081359,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.3356056458081359
920,1298281,0.23508,0.23508,True,40.1629,1077.9037926240162,73.23,0.2131833301604778,0.2173792657225443,0.082912607552,0.7110792118467625,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.32504505184676247
921,19341,0.23543,0.23543,True,40.2336,1113.5763528956807,73.23,0.22017610675859983,0.22451619139250092,0.082912607552,0.41953460151445193,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.03350044151445192
922,15287,0.2363,0.2363,True,40.3805,1191.516333217999,73.23,0.23542059985939995,0.2400784992772778,0.082912607552,-0.13250609388345988,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.5185402538834599
923,310574,0.23649,0.23649,True,40.2636,1129.0677430880542,73.23,0.22304768640340916,0.2274643656310031,0.082912607552,0.3399495472982714,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.04608461270172859
924,13511,0.23653,0.23653,True,40.4674,1240.1665120253504,73.23,0.2449873577645619,0.2498393040321325,0.082912607552,-0.4422972291187594,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.8283313891187594
925,12881,0.23671,0.23671,True,40.119,1056.3309388106873,73.23,0.20864138582916425,0.2127766798417453,0.082912607552,0.9847321415511269,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.5986979815511269
926,16350,0.23684,0.23684,True,40.2279,1110.657107091163,73.23,0.21934857083984644,0.22369849352759322,0.082912607552,0.5056153475849999,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.11958118758499992
927,1317277,0.23711,0.23711,True,40.2245,1108.9194477242881,73.23,0.21895759476878227,0.22330476290700466,0.082912607552,0.5319968463010664,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.14596268630106635
928,20768,0.23735,0.23735,True,40.7365,1403.7830687072383,73.23,0.27712503983480113,0.2826326842497174,0.082912607552,-1.2737866149928565,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-1.6598207749928564
929,17884,0.23776,0.23776,True,40.2317,1112.6024194072797,73.23,0.21956943658402603,0.22394082074617425,0.082912607552,0.5295509967648947,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.14351683676489468
930,470008,0.23954,0.23954,True,39.9059,957.5908772642612,73.23,0.18870690213067187,0.19249225419835342,0.082912607552,2.1947748264288367,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,1.8087406664288368
931,18486,0.23971,0.23971,True,40.13,1061.6955571987264,73.23,0.209193519587331,0.21339282921544028,0.082912607552,1.0696263942393847,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.6835922342393846
932,510251,0.24004,0.24004,True,40.3847,1193.8231603058425,73.23,0.2351649736475505,0.23989219278285256,0.082912607552,0.005134699965499217,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.3808994600345008
933,580300,0.24072,0.24072,True,40.4016,1203.1506222336993,73.23,0.2368724479314441,0.24164761407404747,0.082912607552,-0.031852671307549575,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.4178868313075496
934,510550,0.24106,0.24106,True,40.3291,1163.6436395208311,73.23,0.2290316769166806,0.2336553658724275,0.082912607552,0.2656739812653681,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.1203601787346319
935,460064,0.24153,0.24153,True,40.1214,1057.499084331873,73.23,0.20806120673025497,0.21226981583172483,0.082912607552,1.1916070438061843,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.8055728838061843
936,17223,0.24151,0.24151,True,40.172,1082.4304476091288,73.23,0.21296984224204707,0.2172773816715518,0.082912607552,0.9567150996531948,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.5706809396531948
937,14481,0.24207,0.24207,True,40.564,1296.5820353826284,73.23,0.2549894774314627,0.26015898742881555,0.082912607552,-0.5608328737781568,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.9468670337781568
938,20111,0.24267,0.24267,True,40.4217,1214.3391589715839,73.23,0.23870005402199304,0.2435514374081813,0.082912607552,-0.029791324887777536,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.41582548488777754
939,480064,0.24271,0.24271,True,40.5734,1302.2069233521331,73.23,0.25596379357944354,0.2611669145133999,0.082912607552,-0.5682962957505884,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.9543304557505884
940,20088,0.24316,0.24316,True,40.2516,1122.8454927061762,73.23,0.22062834306432583,0.22512157957319545,0.082912607552,0.6762007490507609,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.29016658905076087
941,13506,0.24341,0.24341,True,40.538,1281.1500562783951,73.23,0.25168305412650205,0.2568140628002497,0.082912607552,-0.42125956313686475,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.8072937231368648
942,19023,0.24405,0.24405,True,40.2956,1145.829502100729,73.23,0.22498341035639044,0.22958228134146758,0.082912607552,0.5270583792483693,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.14102421924836928
943,15466,0.24436,0.24436,True,40.2064,1099.7146231424806,73.23,0.21587496937308548,0.22029331742567157,0.082912607552,0.9255922829299148,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.5395581229299148
944,3377,0.24449,0.24449,True,40.1263,1059.8880607155415,73.23,0.20803524562898268,0.21229542502607204,0.082912607552,1.3002877007040763,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.9142535407040763
945,000174,0.24497,0.24497,True,40.3336,1166.0575895514667,73.23,0.22878599972903693,0.23348040830420716,0.082912607552,0.4082488102199488,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.022214650219948784
946,420407,0.24512,0.24512,True,40.4957,1256.434925185354,73.23,0.24648876116189583,0.2515495372001022,0.082912607552,-0.20675653971021637,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.5927906997102164
947,20039,0.24539,0.24539,True,40.3582,1179.3426371219816,73.23,0.23131455302660842,0.2360690649789292,0.082912607552,0.3259862002633029,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.06004795973669713
948,000010,0.24594,0.24594,True,40.4318,1220.0004756607707,73.23,0.23918349216156062,0.24411087643389234,0.082912607552,0.06108539970001538,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.32494876029998465
949,13835,0.24604,0.24604,True,40.3473,1173.4375999169727,73.23,0.2300362859443141,0.23477717654485752,0.082912607552,0.39609423666253324,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.010060076662533224
950,15219,0.24637,0.24637,True,40.378,1190.1453387038553,73.23,0.23324983445136044,0.23806346769348943,0.082912607552,0.2865062012601119,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.09952795873988812
951,12977,0.24643,0.24643,True,40.2829,1139.1476012928663,73.23,0.2232443302173999,0.22785261095737377,0.082912607552,0.6792217468209776,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.29318758682097756
952,05D3mq,0.24649,0.24649,True,40.3907,1197.1263770619507,73.23,0.23459542181042695,0.23943920655592302,0.082912607552,0.24125407672118543,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.1447800832788146
953,1334645,0.24701,0.24701,True,40.1983,1095.620122392204,73.23,0.21461417096808008,0.21905483914876392,0.082912607552,1.0754856484666167,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.6894514884666166
954,3451,0.24835,0.24835,True,40.203,1097.9940836496055,73.23,0.21484832174488172,0.219318200366748,0.082912607552,1.1111012172992392,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.7250670572992391
955,420087,0.24848,0.24848,True,40.4912,1253.833877729961,73.23,0.24531648970833067,0.25042295199524817,0.082912607552,-0.06228721815635993,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.44832137815636
956,450082,0.24848,0.24848,True,40.4276,1217.6430660895628,73.23,0.23823564508528408,0.24319471383143265,0.082912607552,0.17618353799382533,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.2098506220061747
957,560152,0.24851,0.24851,True,40.3657,1183.4229847400386,73.23,0.23153481635928103,0.23635498980820727,0.082912607552,0.4208582471887979,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.03482408718879787
958,15161,0.24853,0.24853,True,40.3256,1161.7695782929202,73.23,0.22729472092513578,0.23202700733117038,0.082912607552,0.5856265217220878,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.19959236172208783
959,19990,0.24883,0.24883,True,40.427,1217.3066653544745,73.23,0.23810307720772117,0.24306643998863683,0.082912607552,0.1920815272769963,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.19395263272300373
960,120585,0.24899,0.24899,True,40.3167,1157.0176924918305,73.23,0.22628166725602164,0.2310016720281239,0.082912607552,0.6413241335821689,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.25528997358216887
961,3199,0.24961,0.24961,True,40.6733,1363.5152512678476,73.23,0.26653475009678945,0.27210838071289606,0.082912607552,-0.6437049720538774,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-1.0297391320538773
962,16106,0.24973,0.24973,True,40.2961,1146.0933694714836,73.23,0.22401243970233678,0.22869914218306467,0.082912607552,0.7583754523999675,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.3723412923999675
963,15868,0.24974,0.24974,True,40.3915,1197.5674959701066,73.23,0.23407156608677226,0.2389689198929809,0.082912607552,0.3663039390697153,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.019730220930284703
964,520077,0.25004,0.25004,True,40.5965,1316.133671185729,73.23,0.2571842809057503,0.26257174071605255,0.082912607552,-0.3755821406668603,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.7616163006668604
965,390449,0.25008,0.25008,True,40.3764,1189.2687302050927,73.23,0.23238630159288165,0.23725508370869666,0.082912607552,0.4399573466107769,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.053923186610776885
966,13689,0.2503,0.2503,True,40.4145,1210.3194151187658,73.23,0.236458047966832,0.24141654181892439,0.082912607552,0.29758789277490705,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.08844626722509297
967,5717,0.25037,0.25037,True,40.5692,1299.6906660833513,73.23,0.25390414221810426,0.25922998288491106,0.082912607552,-0.26987411186626786,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.6559082718662679
968,500004,0.25052,0.25052,True,40.3009,1148.6295899806819,73.23,0.224366332632483,0.22907544329561796,0.082912607552,0.7699769894277333,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.3839428294277333
969,16213,0.25077,0.25077,True,40.3873,1195.2534336943245,73.23,0.23342688532146,0.23833110342163857,0.082912607552,0.42336986616549566,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.03733570616549564
970,17552,0.25191,0.25191,True,40.4698,1241.5379524549749,73.23,0.24224522358713518,0.24735809119735155,0.082912607552,0.1469913422568179,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.23904281774318212
971,310161,0.25247,0.25247,True,40.4622,1237.2002525961727,73.23,0.24129093096914536,0.246395097242112,0.082912607552,0.196903451323596,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.18913070867640402
972,9032,0.25249,0.25249,True,40.4066,1205.9241708615184,73.23,0.23518740709384853,0.24016286025516875,0.082912607552,0.4134165571123908,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.027382397112390766
973,000034,0.25319,0.25319,True,40.3688,1185.1136491679904,73.23,0.23099969714069904,0.2359002491421824,0.082912607552,0.5927638012016332,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.20672964120163317
974,17464,0.25345,0.25345,True,40.0303,1014.051472447847,73.23,0.19761564151189664,0.2018123166525011,0.082912607552,2.178163100763068,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,1.7921289407630683
975,5736,0.25394,0.25394,True,40.4546,1232.8777078440041,73.23,0.24016602762765724,0.24527629099989223,0.082912607552,0.28143115338098984,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.10460300661901017
976,1336480,0.25605,0.25605,True,40.6458,1346.3562786811917,73.23,0.2618312043455502,0.26744924528415787,0.082912607552,-0.3281215569959353,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.7141557169959354
