row_id,r,sigma_prime,sigma_second,Q_sqrt_negative_sigma_second,mu_recovered,gamma_recovered,mu_difference_from_extracted_record,gamma_difference_from_extracted_record,recovery_error,finite_status
55,0.2400000000000000000000000000000000000000,0.2703888123975155640390245483060689408446,-0.1248218933383439541767252949370833342153,0.3533014199495155640390245483060689408446,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
56,0.2450000000000000000000000000000000000000,0.2697658034804989601484626159009245657949,-0.1243820616084082842496804213484141798442,0.3526784110324989601484626159009245657949,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
57,0.2500000000000000000000000000000000000000,0.2691449879136951417815678845510861228678,-0.1239445505250870484544775746075406841144,0.3520575954656951417815678845510861228678,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
58,0.2550000000000000000000000000000000000000,0.2685263541346732879895150177367547305490,-0.1235093437914070152264980778929347375414,0.3514389616866732879895150177367547305490,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
59,0.2600000000000000000000000000000000000000,0.2679098906621297951441450504937652537120,-0.1230764252532031033032460425455912447115,0.3508224982141297951441450504937652537120,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
60,0.2650000000000000000000000000000000000000,0.2672955860951779915321280738860226929104,-0.1226457788976193193465111011239482273899,0.3502081936471779915321280738860226929104,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
61,0.2700000000000000000000000000000000000000,0.2666834291126453013380093634167460602667,-0.1222173888516280218293405157534489486679,0.3495960366646453013380093634167460602667,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
62,0.2750000000000000000000000000000000000000,0.2660734084723777670254997626499386760169,-0.1217912393805672555870049406774449459204,0.3489860160243777670254997626499386760169,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
63,0.2800000000000000000000000000000000000000,0.2654655130105518403943370480876854116188,-0.1213673148866959054347029720493305418217,0.3483781205625518403943370480876854116188,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
64,0.2850000000000000000000000000000000000000,0.2648597316409933538381675598741489619331,-0.1209455999077664211887547541684148054662,0.3477723391929933538381675598741489619331,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,-4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
65,0.2900000000000000000000000000000000000000,0.2642560533545035845575210347443399901706,-0.1205260791156148702938112899236466025570,0.3471686609065035845575210347443399901706,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
66,0.2950000000000000000000000000000000000000,0.2636544672181923256914142067573017186199,-0.1201087373147680780574531156697676258735,0.3465670747701923256914142067573017186199,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,-4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
67,0.3000000000000000000000000000000000000000,0.2630549623748178795217518023727632944271,-0.1196935594410676192267420891777431365221,0.3459675699268178795217518023727632944271,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
68,0.3050000000000000000000000000000000000000,0.2624575280421338890768222078720090031695,-0.1192805305603104283100693007570572995467,0.3453701355941338890768222078720090031695,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
