tracer,q_bin_left,q_bin_right,q_bin_center,retained_data_count,retained_random_count,existing_selection_corrected_weight,empirical_q_mass,empirical_q_density,fixed_rho_q_support_density,fixed_rho_q_support_bin_mass,empirical_minus_fixed_q_density,empirical_minus_fixed_q_bin_mass,cumulative_empirical_q_mass,cumulative_fixed_q_mass,cumulative_q_residual,opening_branch,outer_exp_readout
ELG,27.50148407471567,27.93799834481355,27.71974120976461,572.0,7005.0,0.08165596002855104,0.005692622575235923,0.013041091586672413,0.017339121759364026,0.007568774078927071,-0.004298030172691612,-0.0018761515036911482,0.33046460355791984,0.7179183344704682,-0.3874537309125483,11.700767013328866,0.10042781940804064
ELG,27.93799834481355,28.374512614911424,28.156255479862487,447.0,5944.0,0.07520188425302826,0.005242678475023545,0.012010325513179787,0.016963640422975754,0.007404871117438046,-0.004953314909795966,-0.0021621926424145003,0.33570728203294337,0.7253232055879062,-0.38961592355496283,11.869276432914113,0.09685807069115929
ELG,28.374512614911424,28.811026885009305,28.592769749960365,401.0,4524.0,0.08863837312113174,0.006179399564772875,0.014156237236842797,0.01659294479213772,0.0072430571847144284,-0.002436707555294921,-0.0010636576199415538,0.34188668159771624,0.7325662627726206,-0.39067958117490437,12.03778585249936,0.09341521018092012
ELG,28.811026885009305,29.24754115510718,29.029284020058242,259.0,3648.0,0.07099780701754387,0.004949592398142128,0.011338901697377151,0.016227169058959833,0.007083390857526651,-0.004888267361582682,-0.0021337984593845236,0.34683627399585837,0.7396496536301472,-0.39281337963428886,12.206295272084606,0.09009472758310876
ELG,29.24754115510718,29.684055425205052,29.465798290156116,251.0,3008.0,0.0834441489361702,0.005817285668300288,0.013326679256089283,0.01586643182909429,0.006925923908934765,-0.0025397525730050073,-0.001108638240634477,0.3526535596641587,0.746575577539082,-0.3939220178749233,12.374804691669853,0.08689227292379921
ELG,29.684055425205052,30.120569695302933,29.902312560253993,239.0,2454.0,0.0973920130399348,0.006789657140580461,0.015554261580172389,0.015510837060243124,0.0067707017179591865,4.342451992926481e-05,1.89554226212741e-05,0.3594432168047391,0.7533462792570412,-0.3939030624523021,12.5433141112551,0.08380365085070259
ELG,30.120569695302933,30.557083965400807,30.33882683035187,219.0,2347.0,0.09331060928845335,0.006505123211566434,0.014902429673393905,0.015160474953638968,0.0066177636587248095,-0.0002580452802450634,-0.00011264044715837522,0.36594834001630555,0.759964042915766,-0.3940157028994605,12.711823530840347,0.08082481513707644
ELG,30.557083965400807,30.993598235498688,30.775341100449747,174.0,2261.0,0.07695709862892526,0.005365042757766853,0.012290646893545622,0.014815422800651382,0.006467143470017839,-0.0025247759071057602,-0.0011021007122509856,0.3713133827740724,0.7664311863857839,-0.3951178036117115,12.880332950425593,0.07795186338099505
ELG,30.993598235498688,31.43011250559656,31.211855370547624,179.0,2103.0,0.08511650023775559,0.005933873174831366,0.013593766759333879,0.01447574578659645,0.00631886960615852,-0.0008819790272625704,-0.000384996431327154,0.37724725594890374,0.7727500559919425,-0.3955028000430387,13.048842370010842,0.07518103189303646
ELG,31.43011250559656,31.866626775694435,31.648369640645498,148.0,1761.0,0.08404315729699034,0.005859045369813411,0.013422345547832186,0.014141497753709783,0.006172965570051346,-0.0007191522058775969,-0.00031392020023793526,0.38310630131871715,0.7789230215619938,-0.39581672024327663,13.217351789596087,0.07250869076568849
